@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {britneyspears,justinbieber,katyperry,ladygaga,rihanna,taylorswift}


@data
0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,4,3.5,4.14,2,britneyspears
1,2,1,0,0,1,0,0,0,0,0,9,2,0,1,1,1,10.0,3.67,3,britneyspears
0,0,0,0,0,0,1,0,0,0,0,8,1,1,0,0,0,10.5,4.33,2,britneyspears
1,1,0,0,0,0,1,0,0,0,0,10,0,3,0,1,0,7.25,3.38,4,britneyspears
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,3.9,2,britneyspears
0,2,1,0,0,0,0,0,0,0,0,10,0,4,0,0,7,6.5,3.46,4,britneyspears
2,0,0,0,0,1,0,0,0,0,0,8,1,1,0,0,1,7.75,3.35,4,britneyspears
2,0,1,0,0,0,0,0,0,0,0,8,2,3,0,1,1,9.67,3.21,3,britneyspears
0,0,0,0,0,0,1,1,0,0,0,7,2,1,0,0,1,6.0,3.06,3,britneyspears
0,1,0,0,1,0,0,0,0,0,0,15,0,3,0,3,1,5.5,4.0,4,britneyspears
1,0,0,0,0,0,1,1,1,0,0,7,3,1,1,0,0,6.33,3.53,3,britneyspears
2,1,0,0,0,1,0,0,0,2,0,10,0,0,0,0,1,10.5,4.1,2,britneyspears
0,0,0,1,0,0,0,1,0,0,0,7,5,0,0,0,0,25.0,3.52,1,britneyspears
2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,6.67,4.15,3,britneyspears
1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,2,3.0,3.44,3,britneyspears
0,0,0,0,0,0,2,0,0,0,0,7,3,0,0,0,0,3.75,3.67,4,britneyspears
0,0,0,0,0,0,2,1,1,0,0,4,3,0,0,0,0,10.0,4.0,1,britneyspears
4,1,2,1,0,0,0,0,0,0,0,4,0,3,0,1,0,14.5,2.76,2,britneyspears
1,3,0,0,1,0,0,0,1,0,0,13,1,1,0,1,1,6.0,3.33,5,britneyspears
1,0,0,0,0,0,0,1,0,0,2,8,1,3,1,0,0,6.25,3.36,4,britneyspears
4,0,1,0,0,0,1,0,0,0,0,7,2,1,0,0,2,11.0,3.06,3,britneyspears
0,1,1,1,1,0,0,1,0,0,0,10,1,1,0,0,2,10.0,4.8,2,britneyspears
1,0,2,0,0,0,0,0,0,0,0,5,1,1,0,0,1,11.5,3.26,2,britneyspears
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2.5,3.2,2,britneyspears
1,1,0,1,0,0,0,1,0,0,0,9,0,1,1,0,0,12.5,3.64,2,britneyspears
1,1,1,0,0,0,0,1,0,0,0,6,1,3,0,1,1,8.33,3.24,3,britneyspears
0,4,0,0,1,0,0,2,1,0,0,11,2,0,1,1,8,4.33,3.35,6,britneyspears
0,0,1,0,0,0,2,1,1,0,0,7,5,1,0,0,0,8.0,3.67,3,britneyspears
1,1,1,1,2,0,1,1,0,1,0,9,0,2,0,1,4,12.0,4.29,2,britneyspears
1,2,0,0,0,0,0,3,1,0,0,15,3,2,0,1,4,7.75,3.39,4,britneyspears
2,0,0,1,0,0,0,0,1,0,0,9,1,5,0,1,0,9.0,3.85,3,britneyspears
1,1,1,0,1,0,1,0,1,0,0,5,0,2,1,1,0,8.5,4.76,2,britneyspears
1,0,0,0,1,1,0,0,1,0,0,8,0,0,0,0,1,12.5,3.64,2,britneyspears
1,3,0,0,3,0,1,1,1,0,0,9,1,5,0,1,1,14.0,3.61,2,britneyspears
2,3,0,0,0,0,0,1,0,0,1,11,0,3,1,2,2,6.2,3.42,5,britneyspears
1,1,1,1,0,0,1,0,0,0,0,7,1,0,0,0,0,11.5,3.78,2,britneyspears
0,2,3,0,2,0,1,0,0,0,0,5,1,2,1,0,0,9.67,3.55,3,britneyspears
0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,6.0,4.75,2,britneyspears
0,0,0,0,0,0,2,1,1,0,0,4,3,0,0,0,0,10.0,4.7,1,britneyspears
3,2,0,0,2,0,0,2,0,1,0,11,0,1,0,1,1,14.0,3.71,2,britneyspears
