@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {barackobama,stephencolbert,ashtonkutcher,kimkardashian,neiltyson,shakira}


@data
2,1,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,11.5,3.57,2,barackobama
1,0,0,2,0,0,0,1,0,0,0,8,0,0,1,0,0,25.0,3.8,1,barackobama
0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,4.0,3.25,2,barackobama
1,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,17.0,3.88,1,barackobama
0,0,1,0,0,0,0,1,0,0,0,6,4,1,0,0,2,7.33,3.59,3,barackobama
0,1,0,0,0,0,2,2,0,0,0,7,3,0,0,0,2,11.0,3.23,2,barackobama
1,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,1,23.0,4.74,1,barackobama
0,0,1,1,0,0,1,1,0,0,0,6,2,2,0,0,1,10.5,3.86,2,barackobama
0,0,1,0,0,0,1,0,0,0,0,6,0,3,0,1,0,21.0,4.76,1,barackobama
0,0,0,0,0,0,2,1,0,6,0,9,1,0,0,0,0,6.5,6.31,2,barackobama
1,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,10.0,4.65,2,barackobama
0,0,0,1,1,0,0,1,0,0,0,7,3,0,0,0,0,10.0,4.4,2,barackobama
1,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,12.0,5.92,1,barackobama
1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,6.5,3.92,2,barackobama
0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,21.0,4.38,1,barackobama
0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,18.0,4.72,1,barackobama
