@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {pop,news}


@data
2,1,0,1,0,0,0,1,0,0,0,4,1,1,0,0,1,8.5,2.88,2,news
0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,3.5,5.29,2,news
0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,10.0,3.2,1,news
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.0,1,news
0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,7.5,3.8,2,news
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,11.0,3.91,1,news
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.0,5.33,1,news
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,8.0,5.13,1,news
1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,9.0,3.78,1,news
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8.0,4.5,1,news
0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,8.0,5.5,1,news
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,7.0,5.14,1,news
0,0,0,1,1,0,0,1,0,0,0,3,1,1,0,0,0,5.0,4.0,2,news
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,11.0,4.45,1,news
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,4.88,1,news
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5.0,3.1,2,news
0,0,0,0,0,0,1,1,0,0,0,3,1,1,0,0,0,4.5,4.22,2,news
0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,1,11.0,4.64,1,news
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10.0,4.0,1,news
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13.0,4.38,1,news
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,5.71,1,news
0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,8.0,4.38,1,news
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13.0,4.77,1,news
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,5.57,1,news
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4.5,2.89,2,news
0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,9.0,5.0,1,news
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7.0,4.43,1,news
0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10.0,4.6,1,news
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,10.0,4.0,1,news
