@relation tweets-weka.filters.unsupervised.attribute.StringToNominal-Rlast

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute classname {bs,jb,kp,lgg,rih,ts}

@data
0,1,0,0,0,0,1,0,0,0,1,7,0,1,1,0,0,6,4.06,3,bs
0,1,1,1,0,0,2,0,0,0,0,6,0,2,0,0,0,10,3.8,2,bs
0,4,1,0,1,0,1,1,1,0,0,8,2,0,0,0,3,8.33,3.56,3,bs
3,0,0,0,2,0,0,0,0,0,0,8,2,0,1,0,2,12.5,4.08,2,bs
1,0,0,1,0,0,0,0,1,0,1,7,2,0,0,0,1,6.5,3.69,2,bs
1,2,1,1,2,0,0,1,0,1,0,10,1,0,0,0,1,5,3.23,6,bs
0,0,0,0,0,0,0,0,1,0,1,6,0,1,0,0,1,6,3.08,2,bs
0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4.67,6.21,3,bs
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,4.33,2,bs
0,1,0,0,1,1,0,1,0,1,0,8,0,3,0,2,0,6.25,3.96,4,bs
1,2,1,0,1,0,0,0,0,0,0,9,0,2,0,3,1,8.33,3.68,3,bs
0,0,0,2,0,0,5,0,1,0,1,6,5,1,0,0,0,10.5,4.14,2,bs
0,0,0,0,0,0,1,0,0,2,0,4,4,0,0,0,0,16,3.38,1,bs
0,1,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,4.67,3.29,3,bs
2,0,1,0,0,0,1,0,0,0,0,8,0,1,0,0,0,8.67,3.54,3,bs
0,0,0,0,0,0,1,0,1,2,0,2,4,1,0,0,0,7,4.5,2,bs
1,1,0,1,0,0,0,0,0,0,0,5,1,0,0,0,2,6,2.72,3,bs
0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,1,9.5,3.68,2,bs
0,0,0,0,0,0,0,0,0,2,0,4,5,0,0,0,0,16,2.94,1,bs
2,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,1,8.67,4.31,3,bs
0,0,1,0,0,0,1,0,0,0,0,5,1,3,0,0,0,8.67,4.27,3,bs
0,2,0,0,2,0,0,3,1,1,0,14,2,1,0,2,1,8.33,4.52,3,bs
1,1,0,1,0,0,0,1,0,0,0,18,1,1,0,0,10,6.2,3.61,5,bs
0,0,2,1,2,0,1,0,0,0,0,7,2,1,0,0,0,9.67,3.86,3,bs
0,0,1,0,1,0,0,2,0,1,0,11,1,1,0,1,3,5.5,4.05,4,bs
0,1,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,9,3.56,2,bs
0,0,0,1,0,0,0,1,0,0,0,6,1,1,0,0,0,6,4.56,3,bs
